,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
45,Tue Jun 11 08:18:53 +0000 2024,0,Sama di kor 8 BMP-220287 juga bocor min.. Yg ini mah becek sampe ke kursi @PT_Transjakarta https://t.co/IxpMsWpEku,1800442568729325907,in,"Bojong gede, bogor, indonesia",0,1,0,arifKWSekian,Transjakarta
46,Tue Jun 11 08:17:44 +0000 2024,0,@PT_Transjakarta min ini udah 2 hari kok kepotong 2x terus ya saldonya klo pagi? padahal ga transit dan naik full brt juga?? https://t.co/ZTPG6Dlv2S,1800442279871799669,in,,0,1,0,dounologi,Transjakarta
47,Tue Jun 11 08:16:20 +0000 2024,0,@batoksupra125 @PT_Transjakarta Mjb aku dari kemarin sm hari ini juga sama di potong 2x kira kira udh dapet jawaban blm ya?,1800441927307071604,in,,0,0,0,dounologi,Transjakarta
48,Tue Jun 11 08:14:57 +0000 2024,0,siang kesore unu jakpus hujan lokasi di sekitaran gambir dan bus ente bocor nih TJ-213 lem di kacanya copot kayanya bus gandeng tua ini minta perawatan @PT_Transjakarta @DKIJakarta cc @txttransportasi https://t.co/vxV651PXKf,1800441576696750143,in,,0,1,0,KiemTalk,Transjakarta
49,Tue Jun 11 08:14:11 +0000 2024,0,@PT_Transjakarta Kak maaf info dong kalau mau ke pasar pramuka dari halte pondok pinang paling nyaman rutenya gimana?,1800441385256186065,in,,0,4,0,andreakhaa,Transjakarta
50,Tue Jun 11 08:14:01 +0000 2024,0,@bhismaaa10 @PT_Transjakarta Thanks ya kak. Ak ikutin ini kemarin sampe juga. Makasiiii,1800441341312434574,in,Jakarta Capital Region,0,0,0,smeflt,Transjakarta
52,Tue Jun 11 08:09:35 +0000 2024,0,Bus Wisata Transjakarta yang masih beroperasi hanya rute BW1 BW2 BW4 BW9 ya @PT_Transjakarta ?,1800440227749892135,in,"Jakarta, Indonesia",0,1,0,nanda_ayuw,Transjakarta
54,Tue Jun 11 08:08:51 +0000 2024,0,Min @PT_Transjakarta TJ-426 kor 3.. Ada bocor hujan di pintu penumpang depan sebelah kanan..,1800440042068074875,in,"Bojong gede, bogor, indonesia",0,1,0,arifKWSekian,Transjakarta
55,Tue Jun 11 08:06:26 +0000 2024,0,@PT_Transjakarta maksudku omongin pas tgl 23 juni 2024 kak rj nct,1800439434732863575,in,,0,2,0,greenpostitman,Transjakarta
57,Tue Jun 11 08:01:13 +0000 2024,0,@PT_Transjakarta min jadwal 7f lewat balaikota kapan ya? trims,1800438120367997125,in,,0,1,0,ouwlaf,Transjakarta
58,Tue Jun 11 08:00:45 +0000 2024,0,@RendiMahar67146 @PT_Transjakarta Silahkan naik koridor 10 arah Tanjung Priok turun di Flyover Jatinegara lanjut naik koridor 11 turun di Pulogebang lanjut naik mikrotrans JAK 110A arah rusun Marunda turun di bus stop IKEA,1800438006358429896,in,,0,0,0,BintangElv7039,Transjakarta
60,Tue Jun 11 08:00:04 +0000 2024,0,@PT_Transjakarta halo min hari minggu halte puribeta 2 dan seskoal mulai operasi jam berapa ya?,1800437834131935445,in,,0,1,0,girlluvbangtan,Transjakarta
61,Tue Jun 11 07:57:04 +0000 2024,0,@PT_Transjakarta min dari csw ke stasiun Kebayoran naik koridor berapa?,1800437075818520857,in,,0,2,0,aisyahsaharaa,Transjakarta
62,Tue Jun 11 07:56:39 +0000 2024,0,Emang boleh rembes ini? @PT_Transjakarta Loc : Halte Karet Sudirman TV kena air lantai banjir parah https://t.co/12VLjGqeuO,1800436972365939006,in,,0,0,0,gemini_asik,Transjakarta
64,Tue Jun 11 07:55:00 +0000 2024,0,@PT_Transjakarta boleh tau rute pemberhentian bus TIM ke halte Deket Kokas dong min,1800436556966351274,in,rumah,0,3,0,yayuyayuhu,Transjakarta
65,Tue Jun 11 07:54:12 +0000 2024,0,@PT_Transjakarta Coba semua bus dicek lg ac nya sebelum dioperasikan. Thanks,1800436356281470976,in,Jakarta Capital Region,0,0,0,VARIANRAHAKORAT,Transjakarta
66,Tue Jun 11 07:52:44 +0000 2024,0,@PT_Transjakarta Sore min dokumen saya untuk daftar KLG kenapa ditolak ya? https://t.co/4Ht7wMBFq3,1800435987472064996,in,,0,1,0,xanny0nrain,Transjakarta
67,Tue Jun 11 07:51:11 +0000 2024,0,@PT_Transjakarta apakah ada aplikasi yg bisa menunjukkan bus yg kita perlu ada di mana?,1800435598798557259,in,,0,1,0,yuliatipr,Transjakarta
70,Tue Jun 11 07:49:10 +0000 2024,0,@PT_Transjakarta makasi minn. sukses terus yaaa,1800435088859214292,in,,0,0,0,deyfadjar,Transjakarta
73,Tue Jun 11 07:38:31 +0000 2024,0,@PT_Transjakarta min halte terdekat di daerah sekitar the energy building scbd apa ya?,1800432409651118304,in,Dowoon's heart,0,2,0,billyeojulge,Transjakarta
74,Tue Jun 11 07:38:03 +0000 2024,0,@PT_Transjakarta Terima kasih kalau dari smesco ke lebak bulusa bagaimana ya?,1800432289979203908,in,,0,4,0,nalaJoe1,Transjakarta
76,Tue Jun 11 07:31:48 +0000 2024,0,punten min @PT_Transjakarta izin bertanya min rute dari jakarta kota ke kokas apa ya min? terima kasih banyak sebelumnya min,1800430718939725856,in,random acc ,0,3,0,lattemniez,Transjakarta
80,Tue Jun 11 07:23:31 +0000 2024,0,@PT_Transjakarta min pas ini ke bundaran hi beroperasi kan yah? https://t.co/C6axRJYEa6,1800428635419210010,in,,0,1,0,greenpostitman,Transjakarta
82,Tue Jun 11 07:16:58 +0000 2024,0,@PT_Transjakarta min tj dari jiexpo kemayoran bakal ada sampe jam berapa ya nanti pas bulan PRJ?,1800426985459740992,in,taemin beomjun❤️,0,2,0,strawbeerkisses,Transjakarta
84,Tue Jun 11 07:15:23 +0000 2024,0,@PT_Transjakarta Terima kasih! ,1800426589215424956,in,,0,0,0,arumdp,Transjakarta
85,Tue Jun 11 07:14:34 +0000 2024,0,knp si kalo siang dituruninnya harus disini knp ga di halte utama. ga enak bgt tmptnya mau nunggu mau transit ke purbet 1 juga ga bisa. @PT_Transjakarta https://t.co/3O4CXwiPLi,1800426380972437743,in,slow reader,0,1,0,grindeIwaldz,Transjakarta
86,Tue Jun 11 07:14:27 +0000 2024,0,@PT_Transjakarta Terima kasih min,1800426352883220949,in,SJ-TREASURE.co,0,0,0,guratrembulan,Transjakarta
90,Tue Jun 11 06:52:16 +0000 2024,0,@PT_Transjakarta halo kak kl dari rawa buaya mau ke karawaci rutenya gmn ya? makasih,1800420770423980436,in,she / her | DNF,0,2,0,lottemoncher,Transjakarta
93,Tue Jun 11 06:48:09 +0000 2024,0,@PT_Transjakarta min dari Slipi ke St tanah abang pake TJ rute mana ya,1800419735135494251,in,Indonesia,0,3,0,imfibr,Transjakarta
94,Tue Jun 11 06:47:03 +0000 2024,0,@PT_Transjakarta 6W arah Blok M posisi mana ya.. apa krn ujan drtd dua arah ga lewat2 euy bingung mau nunggu sampe kapan mana harus ngaso krn keujanan,1800419456415596945,in,CUSTOM: 5/5 FULL!,0,1,0,nosutalogic,Transjakarta
97,Tue Jun 11 06:37:10 +0000 2024,0,@PT_Transjakarta min ini b21 tuh rute pertamanya dari taman margahayu bukan?,1800416971693216082,in,,0,2,0,curlystop,Transjakarta
99,Tue Jun 11 06:24:50 +0000 2024,0,@PT_Transjakarta admin kalau dari lebak bulus mau ke smesco pancoran naik tj apa aja? Terus transit dimana aja? Terima kasih,1800413866373120250,in,,0,4,0,nalaJoe1,Transjakarta
100,Tue Jun 11 06:23:29 +0000 2024,0,@PT_Transjakarta info rute dari Tanah Abang ke Atrium,1800413526747648409,in,all   e-wallet   ( QRiS ),0,2,0,keccoak,Transjakarta
102,Tue Jun 11 06:14:06 +0000 2024,1,@PT_Transjakarta Saya rasa perlu dicek semuanya karena sangat sering mendapatkan JAK120 yang blower AC lemah ke belakang sehingga penumpang belakang kepanasan nomor body tidak perlu. karena sebagian besar JAK120 blower AC ke penumpang belakang sangat lemah dan kedatangannya masih sangat lama,1800411165933375742,in,治療心內不成,0,1,0,ShouJueWangZhe,Transjakarta
104,Tue Jun 11 06:12:22 +0000 2024,0,dari stasiun mangga besar ke halte jiexpo kemayoran ada rutenya ga min? @PT_Transjakarta,1800410729394426334,in,,0,3,0,lovespinkies,Transjakarta
105,Tue Jun 11 06:10:29 +0000 2024,0,@PT_Transjakarta 3D belum bisa ditrack di google map https://t.co/LYAnsBqpin,1800410257275199874,in,治療心內不成,0,0,0,ShouJueWangZhe,Transjakarta
107,Tue Jun 11 06:08:46 +0000 2024,0,@PT_Transjakarta min tj bisa tap pake kartu krl ga ?,1800409821159768226,in,,0,2,0,mozzilatte,Transjakarta
108,Tue Jun 11 06:06:47 +0000 2024,0,@435Raindra makasih kak izin saran min @PT_Transjakarta weekdays dari jam 11/12 aja karna otw kesana buat pekerja prj jg lumayan huhu,1800409324151521327,in,,0,0,0,lovespinkies,Transjakarta
110,Tue Jun 11 06:00:01 +0000 2024,0,@PT_Transjakarta Halo min boleh diinfo jika dari Pecenongan bagaimana rutenya untuk ke KCIC Halim ya? Terima kasih banyak ya.,1800407621327102063,in,,0,3,0,arumdp,Transjakarta
111,Tue Jun 11 05:54:35 +0000 2024,0,@PT_Transjakarta siang hari naik jak 120 AC muara angke jis. Tapi AC nya kyk kipas angin... Otomatis udh kyk d oven.,1800406253887525270,in,,0,1,0,ayra_adelia,Transjakarta
113,Tue Jun 11 05:49:35 +0000 2024,0,@PT_Transjakarta Baru berangkat kena apes kaca depan sebelah kiri pecah. Gara2 pohon jatuh di depan Alfamidi Bayoran arah Tanahabang Jak 12 KMJ 1340 jam 12:38 https://t.co/5N3kQTQFvv,1800404994577006703,in,,0,1,0,ShodiiqAchmad,Transjakarta
120,Tue Jun 11 05:17:04 +0000 2024,0,@PT_Transjakarta Terima kasih.,1800396811376689305,in,"Jakarta Selatan, DKI Jakarta",0,0,0,Rianto1959,Transjakarta
122,Tue Jun 11 05:15:54 +0000 2024,0,@PT_Transjakarta Iyaa saya tahu. Saya ngasih masukan kenapa bus gede masuk jalur sempit g bahaya tah? Itu busnya g bisa muter n membahayakan kendaraan lain n bikin macet jg krn sulit muter.maksudny saya ini ngelapor bukan dikasih info. Jd kangen pak anies.,1800396520845688993,in,,0,0,0,maipurpur,Transjakarta
125,Tue Jun 11 05:06:55 +0000 2024,0,@PT_Transjakarta min info rute dari cbd ciledug kalau mau ke dukuh atas dong,1800394258312310892,in,"Serpong, Indonesia",0,2,0,shinta_fitri,Transjakarta
127,Tue Jun 11 05:03:42 +0000 2024,0,@cofeencreams @gegenap @PT_Transjakarta ya ampun syg tlong bimbing ak ke jln yg bnar,1800393449860149757,in,homophobic dni,0,1,0,fractiox,Transjakarta
129,Tue Jun 11 05:02:57 +0000 2024,0,@PT_Transjakarta grogol reformasi gak ada pramusapanya ada lansia gak bisa top up kartu di mesin sama ada mbak² gak bisa tapout akhirnya mereka buka gerbang petugas alias gak tap out/in ,1800393261540106358,in,,0,3,0,furlsun,Transjakarta
130,Tue Jun 11 05:01:25 +0000 2024,0,@cofeencreams @gegenap @PT_Transjakarta it tap out doang kh ap gmn AK BLM PAHAM NAIK TJ,1800392875009851879,in,homophobic dni,0,1,0,fractiox,Transjakarta
131,Tue Jun 11 04:57:30 +0000 2024,0,@PT_Transjakarta info dr kuningan barat ke mall kokas dong min,1800391887188263243,in,SJ-TREASURE.co,0,4,0,guratrembulan,Transjakarta
132,Tue Jun 11 04:54:05 +0000 2024,0,@PT_Transjakarta setiap hari kayak gitu loh khususnya siang berarti teguran dari penumpang ga disampein ya?,1800391029197291637,in,,0,0,0,sttresberat,Transjakarta
133,Tue Jun 11 04:49:11 +0000 2024,1,@qronoz @PT_Transjakarta @mrtjakarta itu tinggl start aja ya mas?,1800389796298428727,in,Jakarta Capital Region,0,1,0,irhamsyarif,Transjakarta
134,Tue Jun 11 04:48:09 +0000 2024,0,Hallo @PT_Transjakarta mana ini yang ke arah Kota? Lama kali kalian! Jam sibuk makan siang ini. Harusnya lebih banyak armadanya. Ini jarang dan malah jadi penumpukan di CSW. https://t.co/a85y4J0rsl,1800389536805237115,in,INDONESIA,0,1,0,fajarpp_,Transjakarta
135,Tue Jun 11 04:17:37 +0000 2024,0,@PT_Transjakarta ini sampe jam brp ya kira ?,1800381849296060911,in,,0,1,0,lovespinkies,Transjakarta
136,Tue Jun 11 04:17:21 +0000 2024,0,Halo @PT_Transjakarta apakah rute 7C (Cibubur-Cawang Cililitan) beroperasi di hari Sabtu?,1800381784452145572,in,"Bogor, Indonesia",0,3,0,afifnr3,Transjakarta
138,Tue Jun 11 04:15:01 +0000 2024,0,halo @PT_Transjakarta ini apa gaada rencana perluasan halte Sunter Kelapa Gading? pas jam rush hour bisa kaya gini ramenya. padahal lahan sekitar halte juga masih sangat luas. https://t.co/8hgmwdyWKT,1800381197182500999,in,Hogwarts,0,1,0,malvoyy,Transjakarta
142,Tue Jun 11 04:09:47 +0000 2024,13,Sejak @PT_Transjakarta tracking-nya ada di Google Maps commuting di Jakarta jadi jauh lebih enak dan nggak banyak PHP. Termasuk kalo mesti transfer antar moda yang timetablenya rapi macem @mrtjakarta https://t.co/DQpTOjQc4g,1800379878052901217,in,"Jakarta, Indonesia",2,4,2,qronoz,Transjakarta
143,Tue Jun 11 04:08:26 +0000 2024,0,@RafifFadhlurra4 @PT_Transjakarta kalau arah sebaliknya gimana min?,1800379539530612753,in,,0,1,0,eineffac,Transjakarta
146,Tue Jun 11 04:02:51 +0000 2024,0,@PT_Transjakarta Sengaja berangkat lebih pagi min tapi tetep aja telat ujung-ujungnya keluar halte dan naik ojol ,1800378133738352979,in,bukan sulap bukan she/her.,0,0,0,haebaragiu,Transjakarta
149,Tue Jun 11 04:00:21 +0000 2024,0,@lizdatriw @PT_Transjakarta Sampai sekarang ga ada arahan lanjutan untuk saldo yang terpotong 35rb,1800377505280643433,in,,0,0,0,kang_legalisasi,Transjakarta
151,Tue Jun 11 03:58:39 +0000 2024,0,@PT_Transjakarta selamat siang kak mau tanya dari Lippo mall puri mau ke stasiun rawa buaya naik apa ya?,1800377076173996316,in,,0,3,0,Biagialif1,Transjakarta
153,Tue Jun 11 03:51:57 +0000 2024,0,@bhismaaa10 @bitchesndx @PT_Transjakarta ikut tanya kalau jaklingko bisa pakai kartu flazz?,1800375393029116389,in,,0,2,0,eineffac,Transjakarta
157,Tue Jun 11 03:43:18 +0000 2024,0,@PT_Transjakarta halo min mau nanya kenapa bus 9D arah blok m ga berenti di jamsostek ya? terus saya harus turun dimana kalo mau naik JPO ke balai kartini?,1800373215451308515,in,,0,2,0,dorkdonkey,Transjakarta
160,Tue Jun 11 03:38:47 +0000 2024,0,@PT_Transjakarta Tapi disini paling akhir tuh penabur min. Kalo dr kalideres. Saya boleh ikut muter gausah turun di penabur?,1800372079365415279,in,Jakarta,0,1,0,miachintia,Transjakarta
164,Tue Jun 11 03:28:19 +0000 2024,0,@RafifFadhlurra4 @PT_Transjakarta Oh boleh ya ikut muter? Gak diturunin kan?,1800369445308944504,in,Jakarta,0,1,0,miachintia,Transjakarta
167,Tue Jun 11 03:20:48 +0000 2024,0,@PT_Transjakarta halo permisi min kalau dari halte taman kota mau ke sunter mall gmn ya? thankss,1800367553589788827,in,,0,3,0,klailx,Transjakarta
169,Tue Jun 11 03:17:39 +0000 2024,0,@omkumkum @PT_Transjakarta Terima kasih atas laporan Anda. Laporan Anda sudah di proses dengan nomor TW2406114E03 Pantau laporan melalui laman https://t.co/Qa1GCMtJRR Anda juga dapat melaporkan melalui Aplikasi JAKI yang dapat diunduh melalui Play Store: https://t.co/g4h86Vb0xF dan App Store: https://t.co/DLUuYYrrHn,1800366758349680683,in,"Jakarta, Indonesia",0,0,0,DKIJakarta,Transjakarta
170,Tue Jun 11 03:12:44 +0000 2024,0,@sorryuntouchy @PT_Transjakarta kak bantu jawab bisa kokk. lewat tol jorr yaa,1800365522393207171,in,,0,0,0,peaceluvngawl,Transjakarta
172,Tue Jun 11 03:06:58 +0000 2024,0,@PT_Transjakarta waktu kejadian sekitar pukul 8.15 kalo lokasi pindah2 kak tapi aku naik dari Cipete Dalam dan sepanjang perjalanan menuju Blok M itu drivernya bener2 ngasal nyetirnya. iya sih jaklingko gratis tapi ya gak gini juga kak drivernya masih mental angkot bangett,1800364073261142141,in,,0,1,0,hbdwondil_,Transjakarta
173,Tue Jun 11 03:06:52 +0000 2024,0,@PT_Transjakarta selamat pagi min kalau dari Stasiun kota menuju halte busway pasar muara karang bisa naik koridor 12A apakah betul ? dan juga bagaimana dengan arah sebaliknya karena setahu saya arah berangkat dan baliknya ke kota (dr ps. muara karang) berbeda.,1800364044865732707,in,インドネシア  （ジャカルタ）,0,3,0,FadhliArcCiel,Transjakarta
177,Tue Jun 11 02:55:32 +0000 2024,0,@PT_Transjakarta halo min untuk rute transportasi umum dari Menara Danareksa ke SMA Muhammadiyah 2 gimana ya min?,1800361192638337133,in,,0,2,0,eineffac,Transjakarta
181,Tue Jun 11 02:50:18 +0000 2024,0,min bus 1e rute pondok labu - blok m hari ini avail di taman ddn gak ya? @PT_Transjakarta,1800359875605856609,in,🍵🍶🧩🎐🧶,0,2,0,noseudive,Transjakarta
182,Tue Jun 11 02:48:34 +0000 2024,0,@PT_Transjakarta Hari Kemaren Sekitar maghrib di halte Pasar Santa min Petugas nya Cewek Kecil pake kerudung Aku lagi tap kartu Udah teriak minta di tungguin tapi malah di tutup pas aku komplen Malah aku yg di omelin,1800359440987918775,in,,0,2,0,RMaulana86836,Transjakarta
184,Tue Jun 11 02:46:58 +0000 2024,0,@PT_Transjakarta Min 3H jelambar jugaa udah membludaaaaakk tunggu di halte Jelambar : ) tolongggg donggggg cape bgt harus complain begini trs,1800359037613359452,in,,0,1,0,bibina___,Transjakarta
185,Tue Jun 11 02:46:54 +0000 2024,0,@PT_Transjakarta min bus dr stasiun gondangdia ke senen sentral masih beroperasi nggak ya?,1800359023151362508,in,,0,2,0,koopitae,Transjakarta
186,Tue Jun 11 02:42:06 +0000 2024,0,@PT_Transjakarta min info rute dari GBK ke Kampung Rambutan selain naik 9C dong,1800357815552544998,in,the clouds,0,5,0,mauvewave,Transjakarta
189,Tue Jun 11 02:37:55 +0000 2024,0,@PT_Transjakarta Cek DM ya.,1800356760739512456,in,Priority Seat,0,1,0,26Ceicei,Transjakarta
191,Tue Jun 11 02:34:35 +0000 2024,0,@BinaMargaDKI @PT_Transjakarta Baik kak terima kasih juga untuk tim bina marga atas gerak cepatnya merespon keluhan,1800355922143060090,in,,0,0,0,aginverse,Transjakarta
192,Tue Jun 11 02:31:41 +0000 2024,0,@PT_Transjakarta min TJ rute Pondok Labu - Blok M yg haltenya paling deket sm Rs. Fatmawati halte apa?,1800355192686444919,in,,0,3,0,loeynapcy,Transjakarta
193,Tue Jun 11 02:30:02 +0000 2024,0,pagi min mau tanya. rute tj 7P jam berapa aja ya beroperasinya? @PT_Transjakarta,1800354775302832213,in,,0,1,0,dailytys13,Transjakarta
194,Tue Jun 11 02:29:41 +0000 2024,0,eh ini tj ancol/monas mana sih kaga dikeluarin daritadi arah priuk doang udah chaos bgt plis bkn @PT_Transjakarta,1800354689424482798,in,,0,2,0,KSalsabillaa,Transjakarta
196,Tue Jun 11 02:27:16 +0000 2024,0,wahayyy @PT_Transjakarta cek banyak copot of sekrup jembatan jalan ke halte busway deket MTA Tanjung Duren. @DKIJakarta https://t.co/y9sCH9QwTJ,1800354079065223364,in,,0,2,0,omkumkum,Transjakarta
198,Tue Jun 11 02:25:09 +0000 2024,0,@PT_Transjakarta Kramat sentiong min,1800353548070506746,in,bukan sulap bukan she/her.,0,1,0,haebaragiu,Transjakarta
200,Tue Jun 11 02:23:14 +0000 2024,0,@PT_Transjakarta admin mau tanya kalau mau ke pim 3 dari cbd Ciledug transit dimana aja ya ?,1800353066342084947,in,,0,2,0,viviprivate22,Transjakarta
201,Tue Jun 11 02:22:02 +0000 2024,0,@PT_Transjakarta min mau tanya apakah koridor 6V (ragunan - gbk) itu beroperasi 24 jam ?,1800352762364121554,in,DKI Jakarta,0,2,0,resnares_,Transjakarta
202,Tue Jun 11 02:17:19 +0000 2024,0,Selamat Pagi @PT_Transjakarta maaf sy mau tanya kalau dari halte busway pinang ranti mau turun di halte CSW-ASEAN rutenya bagaimana ya? Terima kasih.,1800351576462393684,in,,0,3,0,ubiy28,Transjakarta
205,Tue Jun 11 02:14:54 +0000 2024,0,@PT_Transjakarta min saya dm utk pengaduan ttg mikrotrans tolong dibaca ya.,1800350967084585251,in,,0,0,0,deluchepiaw,Transjakarta
206,Tue Jun 11 02:12:58 +0000 2024,0,@bhismaaa10 @PT_Transjakarta Iyaa kak aku tau kok terima kasih yaaaa infonya Cuma yg bikin aneh itu kadang dr arah Kota ke Blok M bisnya dtg terus dan jedanya 10 menit doang. Tp kl dr arah sebaliknya jedanya bs lama bgt,1800350482428485873,in,Jakarta,0,0,0,gumpvie,Transjakarta
207,Tue Jun 11 02:11:08 +0000 2024,0,@PT_Transjakarta min T12 beroperasi sampai jam berapa?,1800350022195905023,in,,0,1,0,DelleMohedeee,Transjakarta
208,Tue Jun 11 02:10:56 +0000 2024,0,@tiaraputrianant @PT_Transjakarta Wkwkwkw qta da chat ulang,1800349970102669821,in,Jakarta Capital Region,0,0,0,wahyuwfw,Transjakarta
209,Tue Jun 11 02:10:48 +0000 2024,0,@PT_Transjakarta supir TJ ini kebiasaan ada org lari2 ngejar supaya bisa naik bis dia tapi buat nunggu semenit aja gamau Gimana org mau aware dan makin mau naik pub transport kalau supir TJ lu aja kek pasa kyak gini kelakuannyaa,1800349937110241452,in,Malaysia,0,3,0,qohardwi,Transjakarta
211,Tue Jun 11 02:10:38 +0000 2024,0,Halo min @PT_Transjakarta klo mau ke ayana midplaza ada rutenya ga? Dan klo dari sta.tebet bisa? Tlg infonya ya tks,1800349895406367053,in,Jakarta Capital Region,0,3,0,wahyuwfw,Transjakarta
213,Tue Jun 11 01:42:38 +0000 2024,0,Bahagiaku sesederhana @PT_Transjakarta 4C naik flyover Matraman dan jadi mempercepat perjalanan sedkiit dibanding liwat bawah. Betapa nyampe 830 di Sudirman tuh wow banget ,1800342848967147577,in,among black crimson purple,0,1,0,lexthe70,Transjakarta
