index,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword,created_day,sentiment,sentiment_Hany,sentiment_Jess,sentiment_Messy
14,Fri Jun 07 15:05:36 +0000 2024,1,Entah mengapa dengan berjalan-jalan iseng keliling kota pakai @Transsemarang saja dah seneng aja terutama belakangan ini sebelum pindah kota . Jujur belum siap untuk kehilangan sistem BRT yang biasa kupakai pulang sekolah dahulu https://t.co/rj5wNGJOfM,1799095369848279266,in,"Semarang, Jawa Tengah",0,0,0,kertanegara_133,Transsemarang,Fri,Positive,2,2,2
15,Fri Jun 07 14:00:35 +0000 2024,0,min @Transsemarang mau tanya dong dari rs permata medika ke udinus bisa naik brt ngga yaa??,1799079009332220006,in,,0,1,0,jerukmanls,Transsemarang,Fri,Neutral,1,1,1
16,Fri Jun 07 11:36:05 +0000 2024,0,brt dari halte jrakah ke amarta sampe jam berapa? @Transsemarang,1799042642938065198,in,aesthevism,0,1,0,demnxoi_,Transsemarang,Fri,Neutral,1,1,1
17,Fri Jun 07 06:21:32 +0000 2024,0,min @Transsemarang mau nanya nanti idul adha brt masih jalan ga ya?,1798963484048368126,in,,0,1,0,gularebu,Transsemarang,Fri,Neutral,1,1,1
18,Sat May 18 04:51:54 +0000 2024,0,Min @Transsemarang rute dari gereja katolik katedral Randusari ke Unnes gmna ya?,1791693171757666636,in,,0,1,0,temanbaikmu111,Transsemarang,Sat,Neutral,1,1,1
19,Fri May 17 14:17:22 +0000 2024,1,Min info dong dari sriwijaya ke salatiga apakah bisa naik trans jateng? @Transsemarang,1791473087520911469,in,,0,1,0,luckyistoday,Transsemarang,Fri,Neutral,1,1,1
20,Fri May 17 04:52:30 +0000 2024,0,admin nanya dong kalau rute dari undip ke kota lama gimana ya? @Transsemarang,1791330933246984570,in,btsarmy,0,1,0,talkboutmy,Transsemarang,Fri,Neutral,1,1,1
21,Tue May 14 04:39:32 +0000 2024,0,minn info dong kalo mau ke gubug dari balkot rutenya gimana yaa?? @Transsemarang,1790240506334847462,in,,0,1,0,ksjfuturee,Transsemarang,Tue,Neutral,1,1,1
22,Mon May 13 16:22:36 +0000 2024,0,halo @Transsemarang. kalau dari stasiun tawang ke bsb city bisa naik koridor berapa darimana ya?,1790055052968628290,in,,0,1,0,bawelp,Transsemarang,Mon,Neutral,1,1,1
23,Sun May 12 15:20:11 +0000 2024,0,Iyaaa aplikasi nya @Transsemarang dah bagus klo untuk tracking Tp unt nyari rute masih blm proper,1789676956625285373,in,,0,0,0,alzal18,Transsemarang,Sun,Positive,0,0,0
24,Sat May 11 21:48:55 +0000 2024,0,halo min dari mangkang ke daerah banjarsari tembalang naik apa ya? feeder juga boleh @Transsemarang,1789412394722013377,in,,0,1,0,akunbelajarrr,Transsemarang,Sat,Neutral,1,1,1
25,Fri May 10 04:39:44 +0000 2024,46,Admin hari ini lagi mampir di Da Nang 🇻🇳 Andai aja subfeeder @Transsemarang pakai armada seperti ini... https://t.co/uDFgIogczL,1788791005006967281,in,"Kota Semarang, Kab. Banyumas",2,7,10,TransportforSMG,Transsemarang,Fri,Neutral,1,1,1
26,Wed May 08 13:41:50 +0000 2024,0,Moda transportasi saat sekolah: TK: Jalan kaki SD: Jalan Kaki SMP: Jalan Kaki (Rumah jadi parkiran temen) SMA: Naik bis 3/4 dan Motoran Kuliah: Motoran @Transsemarang Bus Tuyul,1788202652524028037,in,,0,0,0,kangahdi,Transsemarang,Wed,Neutral,2,1,1
27,Tue May 07 08:06:44 +0000 2024,0,Untuk keberangkatan paling akhir dari terminal mangkang jam brapa ya?mohon infonya @Transsemarang,1787755936284860910,in,,0,1,0,irfd4sm,Transsemarang,Tue,Neutral,1,1,1
28,Mon May 06 05:36:52 +0000 2024,0,minn mauu nanya dungss rute dari unnes mau ke museum ranggawarsita @Transsemarang,1787355832021393430,in,,0,0,0,haesunchi,Transsemarang,Mon,Neutral,1,1,1
29,Sat May 04 07:12:29 +0000 2024,0,Selamat siang @Transsemarang kalau dari kota lama mau ke unnes rute nya bagaimana ya? terimakasih,1786655119029018932,in,,0,1,0,sepgudayz,Transsemarang,Sat,Neutral,1,1,1
30,Sat May 04 05:59:15 +0000 2024,0,minn kalo turun dr koridor 6 terus transit 3A itu bayar lagi ya?? @Transsemarang,1786636690339361193,in,,0,1,0,yexoliny,Transsemarang,Sat,Neutral,1,1,1
31,Fri May 03 16:03:17 +0000 2024,0,Min kalo dari gramedia pandanaran ke paragon naik brt yg mana ya? rutenya juga apa aja? Terima kasih @Transsemarang,1786426309536821626,in,,0,1,0,mvrlorddle,Transsemarang,Fri,Neutral,1,1,1
32,Fri May 03 08:20:28 +0000 2024,0,Selamat sore @Transsemarang kalau dari unnes mau ke kota lama rute nya bagaimana ya? terimakasih,1786309839293206950,in,,0,1,0,sepgudayz,Transsemarang,Fri,Neutral,1,1,1
33,Fri May 03 05:41:01 +0000 2024,0,halo min mau tanya brt ke arah Undip terakhir beroperasi jam berapa ya? @Transsemarang,1786269714978898330,in,,0,1,0,yexoliny,Transsemarang,Fri,Neutral,1,1,1
34,Thu May 02 05:41:30 +0000 2024,2,SELAMAT HARI JADI KOTA SEMARANG KE - 477 TAHUN Semoga Kota Semarang semakin maju dan sejahtera MAKIN KOMPAK MAKIN HEBAT @mbakitasmg @timder_x @transsemarang @buswisata_kotasemarang #semaranghebat #semarangpemkot #semarang2024 #semarangsemakinhebat #walikotasemarang https://t.co/CkYe8h3Wip,1785907447091397115,in,Semarang,0,1,0,Dishubkotasmg,Transsemarang,Thu,Positive,2,1,1
35,Sun Apr 21 06:07:05 +0000 2024,0,min info rute halte balaikota ke halte sma 1 @Transsemarang,1781927617622614154,in,𓍼𝓐𝓈𝓎𝒶𓂅,0,1,0,filmorette,Transsemarang,Sun,Neutral,1,1,1
36,Sun Apr 21 05:22:48 +0000 2024,0,Mau nanya dari stasiun poncol ke smp 16 naik koridor brp min??transit dulu gak minn?@Transsemarang,1781916475672174679,in,ISTJ-T,0,2,0,ssampaijumpa,Transsemarang,Sun,Neutral,1,1,1
37,Sat Apr 20 11:02:32 +0000 2024,0,Kalo kita dari luar Semarang dan bingung naik bus nomer brp petugas bakal arahin kita ga sih harus naik apa berhenti dimana dan kapan? @Transsemarang,1781639582947385658,in,,0,1,0,kiddiebeee,Transsemarang,Sat,Neutral,1,1,1
38,Sat Apr 20 02:21:26 +0000 2024,0,mau tanya kak kalo misal rutenya dari banyumanik ke krapyak itu lewat koridor mana aja ya kak atau pakai feeder juga kak? @Transsemarang,1781508445877006349,in,"Yogyakarta, Indonesia",0,1,0,Alvianyuwanda19,Transsemarang,Sat,Neutral,1,1,1
39,Fri Apr 19 21:18:51 +0000 2024,0,hi @Transsemarang klo dari timoho ke area sumurboto stationary tu rutenya gmna ya?,1781432295003697291,in,,0,1,0,narakartaa,Transsemarang,Fri,Neutral,1,1,1
40,Thu Apr 18 04:56:07 +0000 2024,0,tolong jelasin rute dari ciputra mall mau ke paragon dong min @Transsemarang,1780822594436157794,in,O6L — 17teen ★,0,1,0,leicsure,Transsemarang,Thu,Neutral,1,1,1
41,Tue Apr 16 14:00:00 +0000 2024,1,Malam min @Transsemarang mau tny rute dari st. Tawang ke rusunawa undip gmn ya?,1780234692869894179,in,,0,1,0,maysinhere,Transsemarang,Tue,Neutral,1,1,1
42,Tue Apr 16 12:38:57 +0000 2024,0,Min @Transsemarang mohon layanan malam ditambah lagi dong rutenya dari Penggaron - Simpang Lima... Malam-malam begini cari gojek ke arah Penggaron sudah susah banget soalnya satu-satunya pilihan. Besar harapan buat Trans Semarang kalau ada koridor Layanan Malam dari Psnggaron.,1780214296796074272,in,,0,1,0,Matthewjadons,Transsemarang,Tue,Positive,0,0,0
43,Tue Apr 16 07:21:37 +0000 2024,0,Untuk @Transsemarang kalau kayak gini gimana ya !? Feeder maunya berhenti sesuai PALANG sedangkan PALANGnya ditutupi mobil dan susah untuk memberhentikan Feeder !! Mohon ini solusinya apa petugas terkait @Transsemarang https://t.co/cx0p14eG0Q,1780134437231243489,in,"Semarang, Jawa Tengah",0,0,0,SebastianMudaa,Transsemarang,Tue,Negative,0,0,0
44,Tue Apr 16 00:35:19 +0000 2024,0,Min tolong banget ini mah bagi info rute yg harus dilalui dari st tawang ke terminal penggaron dongg naik yg mana ajaa? maaci @Transsemarang,1780032188018487456,in,,0,1,0,mvrlorddle,Transsemarang,Tue,Neutral,0,0,0
45,Sat Apr 13 13:46:51 +0000 2024,0,Selamat malam min @Transsemarang mau nanya dong kalo mau ke uptown mall dari terminal mangkang naik BRT bisa ga ya?,1779144218872811790,in,"Central Java, Indonesia",0,1,0,nxaaryn,Transsemarang,Sat,Neutral,1,1,1
46,Thu Apr 11 05:29:37 +0000 2024,0,AC di BRT transsemarang koridor I-004 sudah perlu diperbaiki min @Transsemarang,1778294310632554856,in,first realm,0,1,0,inganggita,Transsemarang,Thu,Neutral,0,1,0
47,Tue Apr 09 01:58:04 +0000 2024,0,halo admin @Transsemarang mau tanya utk tgl 17 April itu apakah brt dan feeder masih beroprasional di jam 6 malam?,1777516297280258188,in,"Jember, Jawa Timur",0,1,0,oposehmat,Transsemarang,Tue,Neutral,1,1,1
48,Sun Apr 07 22:58:43 +0000 2024,0,Pagi min @Transsemarang. Mau melaporkan kejadian bus tanpa AC koridor IV-017 tanggal 3 April 2024 pukul 14.30 dari Balaikota ke Cangkiran. Mohon cek berkala AC di setiap bus terutama untuk koridor IV-016 IV-017 dan IV-018. Terima kasih.,1777108775935295985,in,Indonesia,0,1,0,Asalia_Li,Transsemarang,Sun,Neutral,0,0,0
49,Sun Apr 07 15:52:03 +0000 2024,1,Sejauh ini menggunakan @Transsemarang cukup terkoneksi dgn jalur pejalan kaki. Tapi saya pernah naik feeder mau oper ke sisemut. diturunin di banjo. Kemudian feeder langsung nyebrang. Sementara shelter selanjutny lumayan jauh. Pdhl di aplikasi harusny rutenya tidak seperti itu. https://t.co/vzLxN2teSc,1777001398858870876,in,Indonesia,0,0,0,lilaazka,Transsemarang,Sun,Positive,0,0,0
50,Sun Apr 07 06:23:44 +0000 2024,0,Hai min @Transsemarang minta info nya dong hari senin saya mau mudik ke godong lwt penggaron. Armada msh bisa sampe terminal godong kah? Soal nya info dr kmrn godong banjir lagi,1776858378574213327,in,,0,0,0,diarydia68,Transsemarang,Sun,Negative,1,1,1
51,Fri Apr 05 10:23:35 +0000 2024,1,Tolong dong @Transsemarang armadanya diperhatikan. Berkali-kali naik bus IV-017 ac nya selalu mati kondisi penuh gini ngga ada yang pingsan aja udah syukur banget.,1776193961134301440,in,,0,1,0,saudadeabience,Transsemarang,Fri,Negative,0,0,0
52,Thu Apr 04 04:44:44 +0000 2024,0,Haloo ada yg tau cara naik dari stasiun Poncol ke Undip? @Transsemarang,1775746302082748816,in,,0,1,0,Lhiyayaaa,Transsemarang,Thu,Neutral,1,1,1
53,Wed Apr 03 12:45:32 +0000 2024,0,Halo admin @Transsemarang kalau naik koridor 6 boleh bawa koper gak ya? Bus koridor 6 kecil takut ngehalangin penumpang yang lain kalo bawa koper. Tolong dijawab ya min terima kasih,1775504908797829161,in,,0,1,0,frreeysia,Transsemarang,Wed,Neutral,1,1,1
54,Wed Apr 03 08:53:33 +0000 2024,0,sore kak admin @Transsemarang pembayaran non tunainya bisa pakai apa saja?,1775446529110888655,in,"Purwokerto, Jateng",0,0,0,bruriekolonel,Transsemarang,Wed,Neutral,1,1,1
55,Tue Apr 02 11:41:30 +0000 2024,0,naik dari kecamatan ungaran timur ke stasiun semarang tawang rutenya gimana ya? Keberangkatan awal jam berapa? @Transsemarang,1775126407712211179,in,,0,1,0,anisaskies,Transsemarang,Tue,Neutral,1,1,1
56,Tue Apr 02 11:22:22 +0000 2024,0,Min.. kalo naik dari wringin putih kec.bergas ke stasiun semarang tawang rutenya gimana ya? Keberangkatan awal jam berapa? Dan perkiraan perjalanan berapa lama?? @Transsemarang,1775121593158823951,in,Konohagakure,0,1,0,anndaanisa,Transsemarang,Tue,Neutral,1,1,1
57,Sat Mar 30 12:38:02 +0000 2024,0,Malam min mohon info kalau dari ngaliyan ke jln gajah Mada naik brt apa apa ya? Harus transit juga nggak? Makasii min @Transsemarang,1774053471437869083,in,,0,1,0,oci_hundred,Transsemarang,Sat,Neutral,1,1,1
58,Sat Mar 30 09:55:52 +0000 2024,0,Halo Admin. Bagaimana cara dari Mangkang ke SMP 4 dan dari SMP 4 ke Mangkang? @Transsemarang,1774012662621647036,in,Semarang,0,1,0,auliyaans,Transsemarang,Sat,Neutral,1,1,1
59,Thu Mar 28 09:51:40 +0000 2024,0,halo min koridor 7 masih lewat abimanyu gak ya? aku mau ke terboyo @Transsemarang,1773286828117729372,in,akun pusing,0,1,0,haidilaorobber,Transsemarang,Thu,Neutral,1,1,1
60,Thu Mar 28 07:11:47 +0000 2024,0,Siang min @Transsemarang kalo dari tahu baxo bu pudji pamularsih ke unnes rutenya gmna ya?,1773246592008524098,in,,0,1,0,temanbaikmu111,Transsemarang,Thu,Neutral,1,1,1
61,Wed Mar 27 08:45:51 +0000 2024,0,min @Transsemarang kalo dari unnes mau ke johar rutenya gimanaa?,1772907877700604374,in,,0,1,0,aliasshevrya,Transsemarang,Wed,Neutral,1,1,1
62,Mon Mar 25 03:24:08 +0000 2024,0,Pagi min @Transsemarang kalo dari unnes ke tahu baxo bu puji yg di pumularsih rutenya gmna ya?,1772102138296160476,in,,0,1,0,temanbaikmu111,Transsemarang,Mon,Neutral,1,1,1
63,Sun Mar 24 07:36:37 +0000 2024,4,Salah satu penggunaan announcer terbaik yang saat ini ada di beberapa armada @Transsemarang : memperkenalkan musik khas daerah di (beberapa) bus kota. Jadi tidak hanya di stasiun KA saja secara reguler kalian bisa mendengar Gambang Semarang (by @/dani_pandu di @instagram) https://t.co/hUxQTYapNp,1771803289031479710,in,Semarang City - ID,0,0,0,FarhanSyafiqF,Transsemarang,Sun,Neutral,2,2,2
64,Sun Mar 24 03:19:09 +0000 2024,1,Dari terminal sukun ke polines rutenya gimana ya min @Transsemarang ?,1771738495146471829,in,,0,1,0,sideofwah,Transsemarang,Sun,Neutral,1,1,1
65,Sat Mar 23 12:15:45 +0000 2024,0,Hashtag #semakinberbenah atau #semakinmelanggar nih? Sudah sering feeder melanggar tapi ga pernah saya up tapi semakin saya diam malah semakin nguawur piye iki? @Transsemarang https://t.co/GHYpB6JMsl,1771511148090667341,in,,0,0,0,imam_luthfi1,Transsemarang,Sat,Negative,0,0,0
66,Sat Mar 23 09:43:43 +0000 2024,0,Sore Admin. Mohon kasih tau rute dari Mangkang ke Roemani dan sebaliknya @Transsemarang,1771472889599975786,in,Semarang,0,1,0,auliyaans,Transsemarang,Sat,Neutral,1,1,1
67,Sat Mar 23 04:42:32 +0000 2024,0,hallo min untuk mengetahui informasi terkait transjatenh dari mana yaa. terimakasih @Transsemarang,1771397091715395597,in,"Kediri, Jawa Timur",0,2,0,adibahumaida,Transsemarang,Sat,Neutral,1,1,1
68,Sat Mar 23 03:33:33 +0000 2024,0,Min @Transsemarang kalo dari UNNES ke masjid pekojan rutenya gimana ya?,1771379733739302962,in,,0,1,0,temanbaikmu111,Transsemarang,Sat,Neutral,1,1,1
69,Sat Mar 23 02:58:41 +0000 2024,0,Min aku dari SMAN 15 Kedungmundu Deket unimus mau ke Ngaliyan square rute nya gimana ya? @Transsemarang,1771370958949065078,in,SOLO STAN,0,2,0,injunieO07,Transsemarang,Sat,Neutral,1,1,1
70,Fri Mar 22 11:08:07 +0000 2024,0,brt terakhir dari penggaron ke balaikota jam berapa ya @Transsemarang,1771131740192743827,in,"Semarang, Jawa Tengah",0,1,0,measbluessie_,Transsemarang,Fri,Neutral,1,1,1
71,Fri Mar 22 06:07:38 +0000 2024,0,Min aku dari ngaliyan square kalau mau ke kota lama ruteny gimana ya? @Transsemarang,1771056121262031245,in,,0,1,0,celxxn,Transsemarang,Fri,Neutral,1,1,1
72,Thu Mar 21 08:23:23 +0000 2024,2,Min @Transsemarang rute brt dari polines - terminal sukun gimana ya?,1770727894546821557,in,,0,1,0,sideofwah,Transsemarang,Thu,Neutral,1,1,1
73,Wed Mar 20 08:56:47 +0000 2024,0,halo @Transsemarang armada tujuan mangkang dengan nomor lambung L-011 ac nya sepertinya ada problem karena tidak terasa sedangkan kondisi armada cukup penuh penumpang. semoga bisa di lakukan maintenance secara berkala ya mohon perhatiannya Ibu @mbakITASMG @MbakIta_SMG,1770373914474303846,in,"Semarang, Jawa Tengah",0,1,0,dariwongkoko,Transsemarang,Wed,Neutral,0,0,0
74,Fri Mar 15 02:12:05 +0000 2024,3,INFO PENGALIHAN ARUS LALU LINTAS JL. KALIGAWE RAYA @mbakitasmg @transsemarang @timder_x #semaranghebat #semarangpemkot #semarang2024 #semarangsemakinhebat #walikotasemarang #pemkotsemarang #dishubkotasmg #dulurdishub #pemkotasemarang #semarangpemkot https://t.co/3O2fvCmVXf,1768460129610158563,in,Semarang,0,3,3,Dishubkotasmg,Transsemarang,Fri,Neutral,1,1,1
75,Thu Mar 14 03:42:32 +0000 2024,0,Halo @Transsemarang pengalihan rute buat koridor V itu berdampak sampe ke halte wonderia atau nggak ya? Mau ke perpustakaan soalnya. Makasih,1768120504152666481,in,,0,2,0,w_hafff_,Transsemarang,Thu,Neutral,1,1,1
76,Thu Mar 14 01:19:02 +0000 2024,0,Min melohat kondisi brt hari ini lewat simpang 5 gaa??? @Transsemarang,1768084388158619799,in,,0,1,0,Onalife_,Transsemarang,Thu,Neutral,1,1,1
77,Wed Mar 13 23:12:16 +0000 2024,1,Halo min @transsemarang kenapa F1B nggak masuk kokrosono hari ini jam 05.40? Nomor f1b 020 022 002? Padahal disini relatif aman tidak ada genangan. Sangat merugikan sekali buat saya yang mau berangkat kerja,1768052488006152607,in,Nebula M78,0,1,0,satmahen,Transsemarang,Wed,Negative,0,0,0
78,Wed Mar 13 21:06:06 +0000 2024,0,Min sorry kalo oot ada akun bus trans jateng gk ya aku mau tanya2 rute plis jawab @Transsemarang,1768020736604864875,in,EXO Planet,0,0,0,indulpr,Transsemarang,Wed,Neutral,1,1,1
79,Wed Mar 13 04:48:20 +0000 2024,1,Buset itu yang jaga feeder di Halte Sultan Agung atas nama Sisilia Vina galak banget ga cocok masuk jadi layanan masyarakat padahal gue dluan yg dateng ga cepet dilayanin. Ditindak dong klo ada pelayanan kek gini @Transsemarang,1767774671926362224,in,"Setia Budi, Indonesia",0,1,0,Serebriumday,Transsemarang,Wed,Negative,0,0,0
80,Mon Mar 11 00:04:13 +0000 2024,0,pagi kak @Transsemarang kalo mau ke java mall dari unnes rutenya gimana ya?,1766978398742814827,in,,0,1,0,usedyme,Transsemarang,Mon,Neutral,1,1,1
81,Sun Mar 10 10:37:18 +0000 2024,0,Min @Transsemarang shelter yang ada BRT Card versi pelajar di mana ya barusan dari Balaikota sama Simpang Lima lagi kosong. Apa emg lagi kosong semua ya?,1766775331929931832,in,,0,1,0,destyne_e,Transsemarang,Sun,Negative,1,1,1
82,Sun Mar 10 06:53:09 +0000 2024,0,siang kak kalo mau ke unnes dari java mall rutenya gimana ya? @Transsemarang,1766718920818655340,in,,0,1,0,anywmars,Transsemarang,Sun,Neutral,1,1,1
83,Fri Mar 08 02:22:28 +0000 2024,0,min @Transsemarang - dari johar ke pamularsih tahubaxo ibu pudji naik yg mana aja ya? terus dari tahu baxo ibu pudji pamularsih ke unnes naik yang manaa? thanks minn need info ASAP,1765926024251064609,in,,0,1,0,dofzx,Transsemarang,Fri,Neutral,1,1,1
84,Fri Mar 08 02:11:38 +0000 2024,0,Pagi @Transsemarang @brttransjateng min mau nanya kalau dari ngaliyan ke arah undip tembalang naiknya rute mana aja ya? Saya baru jadi takut nyasar. Mohon bantuannya ya,1765923297345327494,in,,0,1,0,heloomii,Transsemarang,Fri,Neutral,1,1,1
85,Fri Mar 08 01:29:32 +0000 2024,0,Halo met pagi etmin @Transsemarang Infokan rute dari Mangkang - SMA Sultan Agung 1 Mataram dan sebaliknya dong,1765912702793519322,in,Semarang,0,2,0,auliyaans,Transsemarang,Fri,Neutral,1,1,1
86,Thu Mar 07 11:22:42 +0000 2024,0,Mohon maaf nih mau sauna apa gimana ya? Suhunya ngga kondusif amat @Transsemarang Masa 30.5 derajat celcius https://t.co/2Ymhg67mF5,1765699593294262744,in,Indonesia,0,1,0,ookakekk,Transsemarang,Thu,Neutral,0,0,0
87,Sat Mar 02 01:23:11 +0000 2024,1,Hari ini brt ga lewat simpang 5 ya min?? @Transsemarang,1763736781395267791,in,,0,1,0,Onalife_,Transsemarang,Sat,Neutral,1,1,1
88,Sat Mar 02 01:14:09 +0000 2024,0,Pagi Kak @Transsemarang kalau di terminal Gunung Pati berarti ada halte BRT dan bisa menuju ke Halte BRT Balaikota di Pemuda ya? Terima kasih,1763734507440751090,in,"Semarang, Jawa Tengah",0,1,0,dewirieka,Transsemarang,Sat,Neutral,1,1,1
89,Wed Feb 28 06:38:12 +0000 2024,0,Naik bis @Transsemarang turun RS Bhayangkara mak jegagik kalo ndak hati2 bisa kejeblos masuk got pripun niki mbak @MbakIta_SMG https://t.co/PufIBXIYDO,1762728891678945410,in,Semarang,0,0,0,kiswantob,Transsemarang,Wed,Negative,1,1,0
90,Tue Feb 27 06:46:45 +0000 2024,0,Kalau jurusan dari kaeangayu semarang ke weleri kendal rutenya gmn min? @Transsemarang,1762368658071027748,in,Indonesia,0,1,0,Anjasatriaa,Transsemarang,Tue,Neutral,1,1,1
91,Sun Feb 25 22:36:45 +0000 2024,0,Kak @Transsemarang kalau mau naik Trans Semarang dari Ungaran ke SMAN 12 Gunung Pati rutenya bagaimana ya? Bisa ngga ya?,1761882954484371959,in,"Semarang, Jawa Tengah",0,1,0,dewirieka,Transsemarang,Sun,Neutral,1,1,1
92,Sun Feb 25 09:38:36 +0000 2024,0,Halo min ke pinusia park bisa naik brt kah? Klo dr undip ada kah? @Transsemarang,1761687128533352950,in,,0,3,0,flovverie,Transsemarang,Sun,Neutral,1,1,1
93,Sat Feb 24 04:20:10 +0000 2024,0,Siangg min @Transsemarang kalau dri smp 16 ke tembalang satu itu transit dimana aja?,1761244602387042462,in,ISTJ-T,0,2,0,ssampaijumpa,Transsemarang,Sat,Negative,1,1,1
94,Wed Feb 21 14:41:32 +0000 2024,0,min @Transsemarang boleh kasih tau rute dari ngaliyan indah ke unnes? terima kasih,1760313810488086886,in,,0,1,0,sereitoonin,Transsemarang,Wed,Neutral,1,1,1
95,Wed Feb 21 08:10:41 +0000 2024,0,Siang min @Transsemarang kalo dari queen city ke unnes rutenya gmna?,1760215449374179838,in,,0,1,0,temanbaikmu111,Transsemarang,Wed,Neutral,1,1,1
96,Wed Feb 21 06:58:05 +0000 2024,0,Min @Transsemarang mau tanya. Kalo dari balaikota mau ke RS Ketileng rutenya gimana ya?. Thanks,1760197181942988965,in,Indonesia,0,1,0,Asalia_Li,Transsemarang,Wed,Neutral,1,1,1
97,Wed Feb 21 04:03:44 +0000 2024,0,siang min @Transsemarang mau nanya rute dari uin walisongo ke kota lama gimana yaa,1760153305182015598,in,21 but hi!!,0,2,0,kkekke93,Transsemarang,Wed,Neutral,1,1,1
98,Wed Feb 21 03:50:45 +0000 2024,0,Kak kalau dari Gramedia Pandanaran mau pulang ke Undip naik yang mana? @Transsemarang,1760150037177454970,in,Port in a wind,0,2,0,Kaedahura,Transsemarang,Wed,Neutral,1,1,1
99,Wed Feb 21 03:24:52 +0000 2024,0,Pagi min @Transsemarang kalo dari unnes ke perpus provinsi rutenya gmna ya?,1760143522886484061,in,,0,1,0,temanbaikmu111,Transsemarang,Wed,Neutral,1,1,1
