,Unnamed: 0,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword,created_day
10,10,Fri Jun 21 10:38:11 +0000 2024,0,Halo @PT_Transjakarta apakah besok tj gbk kampung Melayu beroperasi 24 jam?,1804101503776624793,in,,0,1,0,frameer20,Transjakarta,Fri
11,11,Fri Jun 21 10:25:56 +0000 2024,0,TJ menggila guys gw setngah jam nungguin 6D muncul2. @PT_Transjakarta parah banget,1804098419344183779,in,"Depok, Jawa Barat",0,0,0,aaaaaaaannggggg,Transjakarta,Fri
12,12,Fri Jun 21 10:23:26 +0000 2024,0,min kalau dari halte cibubur junction ke csw naik jurusan apa aja ya @PT_Transjakarta,1804097791045832883,in,,0,2,0,djtlwrkq,Transjakarta,Fri
13,13,Fri Jun 21 10:16:33 +0000 2024,0,lama bgt nunggu tj yg ke prj dari senen udah 30 menitan lebih huftttttt @PT_Transjakarta,1804096057078378724,in,♡,0,0,0,hour_lymoon,Transjakarta,Fri
14,14,Fri Jun 21 10:02:03 +0000 2024,0,Min @PT_Transjakarta kl mau ke PRJ pengguna jalur 13 harus nyambung dari mana ke mana? Terima kasih sebelumnya.,1804092407870558356,in,"Tangerang, Banten - Jakarta",0,2,0,estindut,Transjakarta,Fri
15,15,Fri Jun 21 09:58:43 +0000 2024,0,Halo @PT_Transjakarta apakah bermitra dengan mayasari bakti bus? Untuk rute jarak jauh seperti AC125 : cikarang - kalideres apakah di maintain oleh PT Transjakarta? Jika iya dimana info terkait.,1804091570209386880,in,,0,1,0,nayyyazz,Transjakarta,Fri
16,16,Fri Jun 21 09:49:17 +0000 2024,0,Min @PT_Transjakarta rute 9C arah senayan kalo minggu pagi pas jam CFD masih melayani sampe halte GBK ga ya?,1804089196807884926,in,Indonesia,0,1,0,andunmp,Transjakarta,Fri
17,17,Fri Jun 21 09:25:55 +0000 2024,0,Min @PT_Transjakarta mau tanya dong rute 4F Pinang Ranti - Pondok Gede masih aktif gak ya? Soalnya aku liat di aplikasi JAKI warnanya abu-abu dan gak ada estimated time arrival nya,1804083316347547774,in,mdni,0,2,0,uappilion,Transjakarta,Fri
18,18,Fri Jun 21 09:22:15 +0000 2024,1,Kacau ni 7C pindah ke Cawang Sentral antrian nya lebih kacau banyak yang serobot serobot gara gara dua peron yang kebuka lebih enak di BKN cuma 1 peron. Balikin 7C ke Cawang Cililitan plz @PT_Transjakarta,1804082392669552958,in,,0,1,0,Kyutsukiii,Transjakarta,Fri
19,19,Fri Jun 21 09:08:51 +0000 2024,0,Selamat sore min @PT_Transjakarta. Izin bertanya besok tanggal 22 Juni apakah ada perubahan rute untuk transjakarta 5C? Dan mohon info dari halte balaikota ke PRJ naik apa saja ya min? Mohon bantuannya ya. Terima kasih,1804079019626729736,in,MOARMY,0,2,0,__hiaugust__,Transjakarta,Fri
20,20,Fri Jun 21 09:07:17 +0000 2024,0,Klakuan supir jaklingko @PT_Transjakarta makin kesini makin barbar... apa seleksinya sdh ga seketat awal2nya ya,1804078625014321199,in,city never sleep,0,0,0,SajaSusanto,Transjakarta,Fri
21,21,Fri Jun 21 08:43:48 +0000 2024,2,RILLLLL transum ga boleh dipuji apa gmn ya baru sebulan live track busnya udah ga ada Siap planga plongo nunggu tj non brt yang lama itu!! @PT_Transjakarta https://t.co/SjIjKCnK2n,1804072718628982824,in,,0,0,0,skytellite,Transjakarta,Fri
22,22,Fri Jun 21 08:30:36 +0000 2024,3,Fitur live tracking Transjakarta di google maps udh enak² dan praktis trus tiba-tiba ga ada. Gimana ini @PT_Transjakarta,1804069397113508287,in,Jakarta Capital Region,0,0,0,bryans98,Transjakarta,Fri
23,23,Fri Jun 21 08:08:50 +0000 2024,0,Koridor 7c untuk naik dari cawang sentral kn di pintu M sm L pintu K cm untuk turun TAPI KO INI BARU YG MAU TURUN DI PINTU K UDH DI SERBUUUUU ANJIRRR???SEBEL BGT pdhl kasian bgt yg udh ngatri di pintu M sm L @PT_Transjakarta,1804063918358433858,in,kedai sushi ,0,1,0,joysunie,Transjakarta,Fri
24,24,Fri Jun 21 08:07:57 +0000 2024,14,Padahal besok ulang tahun ya kenapa hadiahnya begini? @PT_Transjakarta,1804063694730809552,in,Indonesia ,0,1,1,stravenues,Transjakarta,Fri
25,25,Fri Jun 21 07:54:44 +0000 2024,0,Hallo kak kalo dri halte kalideres mau ke jis naik busway transit dmna dan rutenya gimana ya? @PT_Transjakarta,1804060370166047114,in,,0,2,0,sunkissedboyhae,Transjakarta,Fri
26,26,Fri Jun 21 07:50:17 +0000 2024,0,saya mau ke lotte avenue dari stasiun tebet rute tercepat nya apa ya min? @PT_Transjakarta,1804059249049506060,in,,0,2,0,liliyayz,Transjakarta,Fri
27,27,Fri Jun 21 07:50:13 +0000 2024,1,Live tracking Transjakarta di gmaps kenapa mati min? @PT_Transjakarta,1804059233559941506,in,,0,0,0,hahandhika,Transjakarta,Fri
28,28,Fri Jun 21 07:34:34 +0000 2024,1,Kembali ke zaman batu @PT_Transjakarta gw harap apk baru ente segera rilis all platforms dan reliable https://t.co/It3MgzLaPZ,1804055293636063411,in,INDONESIA,0,0,0,MiyaHaE_1,Transjakarta,Fri
29,29,Fri Jun 21 07:31:09 +0000 2024,0,min @PT_Transjakarta info dong kalo dari halte kp. rambutan mau ke halte JCC naik apa ya??,1804054433770410358,in,,0,4,0,dpr2397,Transjakarta,Fri
30,30,Fri Jun 21 07:26:36 +0000 2024,1,Inalillahi...kirain @PT_Transjakarta ,1804053287689462127,in,city never sleep,0,0,0,SajaSusanto,Transjakarta,Fri
31,31,Fri Jun 21 07:02:06 +0000 2024,0,Siang @PT_Transjakarta Dari grogol kalo mo ke PRJ naik jurusan apa?,1804047124415549590,in,,0,2,0,Yunitaw71886903,Transjakarta,Fri
32,32,Fri Jun 21 06:53:30 +0000 2024,1,Yup it's dead alright. Maunya kalian apa sih @PT_Transjakarta ? Aplikasi kalian udah 2 sekarang tapi tidak stabil. https://t.co/9UGt9u40vz,1804044960133689545,in,Space,0,2,0,pieshie,Transjakarta,Fri
33,33,Fri Jun 21 06:42:54 +0000 2024,0,Min @PT_Transjakarta dr stasiun tebet or cawang klo mau ke halte BNN buat naik B21 rutenya kek mana ya thx u,1804042291126182386,in,"Way Sulan, Lampung Selatan",0,0,0,Ahmad_Iftah23,Transjakarta,Fri
34,34,Fri Jun 21 06:40:35 +0000 2024,0,Siang min mau tanya apakah ada tj yg melewati gerbang tol kebon jeruk arah Jakarta? @PT_Transjakarta,1804041710684770761,in,,0,1,0,dkchewbacca,Transjakarta,Fri
35,35,Fri Jun 21 06:29:08 +0000 2024,2,this is actually sucks cuz gw naik dari jamsostek yg halte tenda pinggir jalan dan ga semua 9 lewat situ cmn yg bus kecil doang sama 9A/9D. klo kyk gini gw jadi nya ga bsa schedule mau naik dari jamsostek aja atau widya chandra aja. kecewa @PT_Transjakarta,1804038826740048204,in,,0,1,0,jupitersbadest,Transjakarta,Fri
36,36,Fri Jun 21 06:14:16 +0000 2024,0,Rute tj Kalideres-monas paling pagi jam berapa yah min @PT_Transjakarta,1804035085710066151,in,"DKI Jakarta, Indonesia",0,0,0,Pipih211,Transjakarta,Fri
37,37,Fri Jun 21 06:03:55 +0000 2024,0,Halo min kalo dari kp rambutan mau ke stasiun gambir naik rute apa ya? @PT_Transjakarta,1804032482423234725,in,« she/her » 04즈,0,3,0,jangkurihao,Transjakarta,Fri
38,38,Fri Jun 21 02:32:47 +0000 2024,720,Baru aja mau bangga semalem bisa naik bus 2P yang jarang itu dengan mudah karena bisa ditrack live eh pagi ini malah disuntik mati kabarnya Kalau sampe karena faktor ego sektoral lagi kebangetan sih @PT_Transjakarta Kado ulang tahun Jakarta yang amat membagongkan https://t.co/fcWxyz53AK,1803979346971140493,in,"Jakarta, ID | Breda, NL",59,18,275,adriansyahyasin,Transjakarta,Fri
39,39,Fri Jun 21 02:32:21 +0000 2024,0,Hai min @PT_Transjakarta Untuk tap ini pakai kartu ini bs apa engga ya? Makasih https://t.co/UYrglq7tcG,1803979238879695102,in,"Depok, Jawa Barat",0,1,0,eka39koernia,Transjakarta,Fri
40,40,Fri Jun 21 02:29:31 +0000 2024,5,Sepertinya @PT_Transjakarta sedang menguji coba fitur live tracking di aplikasinya sendiri masih belum normal seharusnya yang di gmaps jangan dulu dihapus fiturnya sampe yang di aplikasinya bener² udah fix,1803978527638982863,in,,0,0,0,Galih_Raka97,Transjakarta,Fri
41,41,Fri Jun 21 02:21:37 +0000 2024,9,Live trackingnya @PT_Transjakarta lagi maintenance kah? Gak lucu sih kalo fitur ini dinonaktifkan,1803976536015671333,in,,0,2,6,BahasBus,Transjakarta,Fri
42,42,Fri Jun 21 02:21:14 +0000 2024,19,Tolong balikin lah @PT_Transjakarta masak 2024 masih main eksklusif eksklusifan aplikasi,1803976440914022527,in,"Bogor, Jawa Barat",0,1,8,shinmuhammad,Transjakarta,Fri
43,43,Fri Jun 21 02:06:07 +0000 2024,1,Hai @PT_Transjakarta kok gak nyala live tracking notif di gmaps? https://t.co/p5Thv1xbWK,1803972635120091486,in,Indonesia,0,0,0,cmayarosari,Transjakarta,Fri
44,44,Fri Jun 21 02:04:20 +0000 2024,0,halo @PT_Transjakarta kalo rute busway ke loca house cempaka putih dari halte tugas gimana yaa? ke halte terdekat gpp,1803972189705900039,in,DONT DO PRIVATE QRT ,0,1,0,prettyairi11,Transjakarta,Fri
45,45,Fri Jun 21 01:56:27 +0000 2024,0,kak ke aeon jgc bisa naik busway ngga? @PT_Transjakarta makasih :)),1803970205682667805,in,,0,1,0,taxaccchy,Transjakarta,Fri
46,46,Fri Jun 21 01:42:10 +0000 2024,25,Pagi ini fitur Live Tracking @PT_Transjakarta di Google Maps terpantau tidak bisa dipakai. Semua rute TJ Bekasi tidak bisa dipantau lagi posisinya semoga hanya sementara saja ya https://t.co/xNzozVIp6x,1803966609490633160,in,"Bekasi, Jawa Barat",3,2,11,tfbekasiraya,Transjakarta,Fri
47,47,Fri Jun 21 01:35:40 +0000 2024,2,Horeee. Menyambut ulang tahun Kota Jakarta fitur live tracking @PT_Transjakarta di google maps hilang https://t.co/0XlGe2yzSF,1803964975247200690,in,AD - H - AB - G - B - ?,0,0,0,affansf,Transjakarta,Fri
48,48,Fri Jun 21 01:19:58 +0000 2024,7,Layanan tracking live @PT_Transjakarta kenapa ya stop di google? @DKIJakarta @TfJakarta,1803961021461365115,in,"Jakarta Pusat, DKI Jakarta",0,0,0,DTKJ_Official,Transjakarta,Fri
49,49,Fri Jun 21 01:18:38 +0000 2024,366,Pantauan mimin pagi ini google maps gabisa tracking ya ada yang sama? Semoga hanya maintenance aja ya min @PT_Transjakarta https://t.co/fryPF0Yg6y,1803960688421015941,in,Jakarta Capital Region,89,51,106,TfJakarta,Transjakarta,Fri
50,50,Fri Jun 21 01:18:05 +0000 2024,21,Ini adalah kemunduran lho @PT_Transjakarta @DaudJoseph,1803960550646534345,in,"Houston, TX",0,0,2,Adrianussatrio,Transjakarta,Fri
51,51,Fri Jun 21 01:17:38 +0000 2024,0,kalo mau ke stasiun klender dari csw naik tj gimana yaa min ? @PT_Transjakarta,1803960434720162268,in,,0,2,0,babyjayeon,Transjakarta,Fri
52,52,Fri Jun 21 00:59:04 +0000 2024,8,Gua liat2 fitur live tracking-nya @PT_Transjakarta di Google Maps dah mati https://t.co/Hlhwa4ZhEN,1803955762752049509,in,hypothetical studio,0,1,1,dafbur,Transjakarta,Fri
53,53,Fri Jun 21 00:53:54 +0000 2024,0,9H sebaiknya bisa lewat daerah Sr. Sawah pagi jam 05.00 supaya bisa bermanfaat bagi yang berangkat kerja/sekolah. Buat apa ngetem di Univ. Pancasila di situ kendaraan Umum ke Ps. Minggu sudah banyak sebaiknya ngetem kaya dulu di KIR Cipedak. @PT_Transjakarta @dishubjakarta,1803954461016232239,in,JAKARTA,0,0,0,EDYSPMA,Transjakarta,Fri
54,54,Fri Jun 21 00:52:25 +0000 2024,0,Bang rute pasar rebo - slipi petamburan naik nomor berapa bang? @PT_Transjakarta,1803954088612438023,in,,0,2,0,raftheairbender,Transjakarta,Fri
55,55,Fri Jun 21 00:42:16 +0000 2024,0,Halo min @PT_Transjakarta apakah bus DMR-227 jur. Tj.Priok mengalami kerusakan pada sistem pendingin??? Mohon di cek kak~,1803951536818786771,in,,0,2,0,rizkiMus,Transjakarta,Fri
56,56,Fri Jun 21 00:17:21 +0000 2024,0,hallo selamat malam admin saya mau tanya kalau dari stasiun kebayoran lama mau ke jln. h. abdul rahman 2 cibubur (rptra cibubur berseri) itu rutenya gimana ya min? terimakasih admin @PT_Transjakarta,1803945264513978882,in,,0,2,0,cwazero,Transjakarta,Fri
57,57,Thu Jun 20 23:57:11 +0000 2024,0,TELAT NGANTOR SATU BIS! gara2 antrian TJ setiap pagi disatuin bareng truk antri solar di rest area karang tengah KM 13.5 sama @PTJASAMARGA. SATU JAM STUCK! @kemenhub151 please be aware of this. Knp angkutan umum yg memuat byk orang yg gak diprioritaskan! Cc:@PT_Transjakarta https://t.co/Q2twKoGqYJ,1803940190953832696,in,,0,1,0,BaekhyunNim17,Transjakarta,Thu
58,58,Thu Jun 20 23:52:27 +0000 2024,207,Hadiah menyambut HUT @DKIJakarta dari @PT_Transjakarta: realtime tracking di Google Maps hilang. Padahal kemaren malem masih ada lho. Gimana ini malah jadi mundur lagi Kiri screenshot pagi ini kanan screenshot tadi malem. https://t.co/AO5lSQxytr,1803938998907474414,in,"Jakarta, Indonesia",59,9,120,qronoz,Transjakarta,Thu
59,59,Thu Jun 20 23:46:31 +0000 2024,0,Dari halte pinang ranti ke halte indosiar rutenya gimana ya @PT_Transjakarta,1803937504686723239,in,,0,2,0,mayahihuheho,Transjakarta,Thu
60,60,Thu Jun 20 23:04:51 +0000 2024,0,Pagi Min @PT_Transjakarta kalau mau ke SCTV Tower dari halte PGC naik apa aja ya?,1803927020273045572,in,,0,2,0,jihansuweleh,Transjakarta,Thu
61,61,Thu Jun 20 22:47:56 +0000 2024,0,Met pagi min @PT_Transjakarta. Mau tanya. Kalau di terminal pulo gadung mau naik 2B itu masuk ke bangunan haltenya kan ya? Maksudnya nggak naik/ngetap di area luar non halte (?),1803922762177876136,in,,0,1,0,Sesihel,Transjakarta,Thu
62,62,Thu Jun 20 22:45:01 +0000 2024,0,Pagi dibuat kesel sama @PT_Transjakarta gak bisa transit di Cawang Sentral .. gak ada informasi sama sekalii mana minim petugas yang jaga!!!!,1803922029852397774,in,"Jakarta Capital Region, Indone",0,1,0,novalinafrans23,Transjakarta,Thu
63,63,Thu Jun 20 22:42:07 +0000 2024,0,Halo @PT_Transjakarta ini kenapa saldo saya selalu kepotong 2 kali yaa? Tap di halte Pancoran. Ini transaksi kemarin dan pagi ini. Saya selalu tap di gate halte BRT gak pernah di bus https://t.co/yNG6ZIuzJK,1803921299078889573,in,,0,3,0,byuunbaekhyuun,Transjakarta,Thu
64,64,Thu Jun 20 21:06:56 +0000 2024,0,Dari halte pulogadung ke mall gancit rutenya gimana min? @PT_Transjakarta,1803897343856824478,in,多啦A梦的口袋,0,4,0,chubspandaa,Transjakarta,Thu
65,65,Thu Jun 20 19:53:26 +0000 2024,0,Info rute transjakarta dari halte pal putih ke mall taman anggrek dong min @PT_Transjakarta,1803878849522078069,in,,0,2,0,uriminhyunie,Transjakarta,Thu
66,66,Thu Jun 20 16:40:52 +0000 2024,0,Haloo min @PT_Transjakarta mau tanyaa untuk rute 7B apakah berhenti di bus stop rawa barat?,1803830387350667273,in,,0,1,0,onenonlyjenolee,Transjakarta,Thu
67,67,Thu Jun 20 16:37:23 +0000 2024,0,min dari mrt bundaran HI ke perpusnas naik tj nya gimana turun dimana? @PT_Transjakarta,1803829511911575648,in,DNF.,0,3,0,ventilentine,Transjakarta,Thu
68,68,Thu Jun 20 16:04:45 +0000 2024,0,Min @PT_Transjakarta jaklingko dari stasiun duren kalibata-pgc sampe jam berapa ya?,1803821298037977180,in,,0,1,0,txtdarinczten,Transjakarta,Thu
69,69,Thu Jun 20 15:44:36 +0000 2024,0,min kalo mau ke Jl. Tulodong Bawah Selong dari halte Kemanggisan rutenya naik apa aja yaa?1 @PT_Transjakarta,1803816226075881816,in,,0,3,0,pearrrlll_,Transjakarta,Thu
70,70,Thu Jun 20 15:15:41 +0000 2024,0, ta* lo... ngent*t ... begitu ucap supir @JaklingkoID_ @PT_Transjakarta @DKIJakarta memang sungguh luar negeri... #Jaklingko #supir #preman #ugalugalan #lalin #angkutanumum #jalan https://t.co/2aliQkUbbB,1803808951093596386,in,,0,2,0,M0nasUniversity,Transjakarta,Thu
71,71,Thu Jun 20 15:01:59 +0000 2024,0,Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembalikan 13C Kembali @PT_Transjakarta,1803805502029307921,in,,0,2,0,glaadlys,Transjakarta,Thu
72,72,Thu Jun 20 14:48:53 +0000 2024,0,halte busway palmerah makin parah dipake dagang kaki lima makin jorok kumuh masa habis turun tangga KRL isinya udh pedagang semua. mana pegawai halte buswaynya suka ngerokok yg jelas2 ada tulisan dilarang merokok. @PT_Transjakarta @DKIJakarta,1803802205386109210,in,,0,1,0,cartwhell_,Transjakarta,Thu
73,73,Thu Jun 20 14:39:23 +0000 2024,0,Ngga salah buka booth yg bikin area penumpang bergerak menyempit di halte CSW? Kalau buru2 bisa kesenggol panci &amp; kompor di situ. Jaraknya buat jalan satu orang. Saat padat bikin antrian tersendat. Digeser dong @PT_Transjakarta @DKIJakarta https://t.co/yMITbF65iw,1803799816146964987,in,"Jakarta, Indonesia",0,1,0,edwina_wyn,Transjakarta,Thu
74,74,Thu Jun 20 10:32:43 +0000 2024,0,Koridor 10 di cawang sentral skarang kek barang langka di museum? Nunggu lama ehh sampe sunter doang @PT_Transjakarta,1803737740808499214,in,,0,1,0,rianinay,Transjakarta,Thu
75,75,Thu Jun 20 10:15:20 +0000 2024,0,Insiden TJ tadi pagi di halte GBK diannounce ga sih di sosmednya @PT_Transjakarta ? Rada bingung kenapa 1F gaberhenti di halte GBK eh taunya...,1803733365281128830,in,Indonesia,0,0,0,_eccedentes,Transjakarta,Thu
76,76,Thu Jun 20 10:10:38 +0000 2024,0,Baru ngeh udah 3x tap transjakarta yg terpotong 14.582 bukan 3.500 @PT_Transjakarta kok bisa gitu ya min? Solusinya apa biar ngga terulang lagi?,1803732180373499979,in,,0,1,0,__chococrayon,Transjakarta,Thu
77,77,Thu Jun 20 09:45:51 +0000 2024,0,Hallo @PT_Transjakarta tolong dong kalau pada saat jam pulang kerja untuk Koridor 8 rute Pasar Baru - Lebak Bulus di dorong terus armada nya untuk mengurangi kepadatan di setiap halte,1803725945444122801,in,,0,2,0,Romi02933533,Transjakarta,Thu
78,78,Thu Jun 20 09:13:44 +0000 2024,0,Seandainya jalur @PT_Transjakarta bisa di sterilkan supaya cuma bus TJ dan first responder yang bisa lewat jalur TJ. Masa pemadam kebakaran jadi terhambat gara gara orang orang egois ini ‍️ https://t.co/2Hfs5mavum,1803717864324837887,in,There,0,2,1,JustRandomly13,Transjakarta,Thu
79,79,Thu Jun 20 08:54:17 +0000 2024,0,Sarana Multi Infrastruktur-Transportasi Jakarta Sepakat Hadirkan Bus Listrik Ramah Lingkungan https://t.co/7q6Yvh4H2Q @PT_Transjakarta @ptsmiID,1803712969425236401,in,Jakarta,0,0,0,Sakawarta,Transjakarta,Thu
80,80,Thu Jun 20 08:10:38 +0000 2024,0,siang min @PT_Transjakarta mohon arahan rute dari ciputat ke jcc senayan supaya tidak terlalu jauh jalan kaki dari halte ke jccnya thanks min,1803701981640593803,in,,0,3,0,sosisselonjoran,Transjakarta,Thu
81,81,Thu Jun 20 07:53:08 +0000 2024,0,halo min @PT_Transjakarta rute ke smk 27 jakarta dari kalideres bagaimana?,1803697577692643824,in,disini,0,2,0,k3syau,Transjakarta,Thu
82,82,Thu Jun 20 06:50:25 +0000 2024,3,mohon bantuan RT-nya Halo @PT_Transjakarta saya kehilangan Samsung Eaebuds 2 dengan gambar sebagai berikut saat naik di bus 10H dari Gunung Sahari (12.27) dan turun di Kemanggisan (13.00). https://t.co/P3Gzs54zkb,1803681794694537432,in,ketek jaehyun,0,2,13,pensnotwise,Transjakarta,Thu
83,83,Thu Jun 20 05:42:49 +0000 2024,0,Halo min @PT_Transjakarta tap in halte pancoran jam 12.00 udah langsung ke potong 3.500 terus ini tap out di non BRT kepotong lagi 3.500 . Udah berulang kali double kepotong ya saldo nya. Case kemaren aja belum kelar kok ini terus potong 2x si saldo nya,1803664784983756876,in,"Jakarta Selatan, DKI Jakarta",0,2,0,ikeauliyaaa,Transjakarta,Thu
84,84,Thu Jun 20 04:40:33 +0000 2024,0,Min koridor 9 kalau jam 4 pagi sudah beroperasi belum ya? @PT_Transjakarta,1803649113331999180,in,"Jakarta Barat, DKI Jakarta",0,2,0,melamondri,Transjakarta,Thu
85,85,Thu Jun 20 04:31:30 +0000 2024,0,halo ka selamat siang mau tanya kalo dr serpong ke cawang uki rutenya gmn ya? @PT_Transjakarta thxxx,1803646837943161225,in,"Depok, Jawa Barat",0,3,0,cynkletikhascl_,Transjakarta,Thu
86,86,Thu Jun 20 03:59:33 +0000 2024,0,halo min @PT_Transjakarta kalau saya dari halte kampung melayu mau ke TPU pondok rangon bisa turun di halte terdekat mana ya?,1803638796505981214,in,twitter,0,2,0,poenyaghiffa,Transjakarta,Thu
87,87,Thu Jun 20 03:44:53 +0000 2024,1,Siang min mau tanya. tadi saya turun dari tj 7P. Saya tap kaya ga bunyi kan saya kira kepotong akhirnya saya turun. tapi pas saya cek ternyata saldonya ga ke potong. saya harus gimana ya min? apakah kartu saya akan ke blokir? sebelumnya terima kasih @PT_Transjakarta,1803635103077376247,in,,0,2,0,dailytys13,Transjakarta,Thu
88,88,Thu Jun 20 03:32:17 +0000 2024,0,halo @PT_Transjakarta maaf nih nanya nanya mulu kalo tutorial ke kokas dengan cara paling menghemat waktu dari arah pinang ranfi bagaimana ya kak?,1803631933026607176,in,,0,3,0,dnshaqu,Transjakarta,Thu
89,89,Thu Jun 20 03:14:14 +0000 2024,0,Min @PT_Transjakarta rute ke senayan park (SPARK) dari depkes rasuna said naik tije nomor berapa?,1803627392134693135,in,"Kota Bandung, Jawa Barat",0,3,1,krispati_ID,Transjakarta,Thu
90,90,Thu Jun 20 03:11:25 +0000 2024,2,Terima kasih @PT_Transjakarta . Palang bus stop sudah ada di ko. Salo. Jadi ga perlu jauh2 dan rebutan lagi nunggu jaklingko-nya. Sayang kondisi terakhir palang ini posisi sudah miring. Kemungkinan ada yg nabrak. https://t.co/4fRSr6rlh1,1803626684429771018,in,Jakarta,0,0,0,m1dn19h75un,Transjakarta,Thu
91,91,Thu Jun 20 03:09:52 +0000 2024,0,Halo min @PT_Transjakarta terkait adanya layanan gratis transjakarta. Saya ingin bertanya apa saja persyaratan layanan gratis transjakarta untuk kategori KJP? Terima kasih,1803626293675888764,in,,0,1,0,Bagass9_,Transjakarta,Thu
92,92,Thu Jun 20 02:42:59 +0000 2024,0,Jam Layanan Transjakarta ke Bandara Soekarno Hatta Diperpanjang @PT_Transjakarta #transjakarta #bandarasoekarnohatta #tangerang https://t.co/u23d5KmLzx,1803619527235870753,in,,0,0,0,sinpotv,Transjakarta,Thu
93,93,Thu Jun 20 02:30:50 +0000 2024,0,min @PT_Transjakarta dari halte sunter kelapa gading kalo mau ke JCC transit dimana ya?,1803616467377856889,in,في سبيل الله,0,3,0,09_mftlm,Transjakarta,Thu
94,94,Thu Jun 20 02:29:04 +0000 2024,126,Pagi ini telat karena ada bus berenti di jalur Transjakarta depan Halte Gelora Bung Karno kirain kenapa taunya @PT_Transjakarta https://t.co/Pn8IfNxm0b,1803616023343669309,in,Jakarta Capital Region,7,9,11,irhamsyarif,Transjakarta,Thu
95,95,Thu Jun 20 02:08:17 +0000 2024,0,nangis banget baru naik busway yang ke-5 masa harus tunggu busway perbantuan dulu. pls perbanyak lagi D21 nya@PT_Transjakarta https://t.co/8xmlONHJZY,1803610794367803652,in,"Jakarta, Indonesia",0,2,0,stupinity,Transjakarta,Thu
96,96,Thu Jun 20 01:59:02 +0000 2024,4,Edukasi driver Jak lingko gmn cara menjawab pertanyaan penumpang. Males2an ditanya yg jalan angkot mana nunjuk dr jauh malah nyolot depan yg mana lg mbak @PT_Transjakarta Jaklingko 19 Pinang Ranti Kp rambutan https://t.co/kb48Wr7cTM,1803608467082715491,in,"Jakarta, Indonesia",0,3,2,oviolvb,Transjakarta,Thu
97,97,Thu Jun 20 01:49:45 +0000 2024,0,Halo min @PT_Transjakarta mau nanya kalau dr Pinang Ranti sampai Charoen Pokphand Ancol Barat naik apa aja ya? Makasi min,1803606129840366074,in,B25 MAT,0,3,0,BaronBram,Transjakarta,Thu
